"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0207574001","STAPLES BUSINESS ADVANTAGE","89.91","2022-05-05","000053924901","1000018782","MTA Municipal Transprtn Agncy"
"0193992901","CAUSA JUSTA: JUST CAUSE","3481.86","2022-01-11","000053925201","1000022258","MYR Mayor"
"0214215301","CAUSA JUSTA: JUST CAUSE","2259.65","2022-06-19","000053925201","1000022258","MYR Mayor"
"0177776301","OFFICE DEPOT","1669.85","2021-08-18","000053925701","","DPH Public Health"
"0177782201","OFFICE DEPOT","446.79","2021-08-18","000053925701","","DPH Public Health"
"0180470701","OFFICE DEPOT","251.66","2021-09-14","000053925701","","DPH Public Health"
"0186375901","OFFICE DEPOT","27.65","2021-11-04","000053925701","","DPH Public Health"
"0189908101","OFFICE DEPOT","13.77","2021-12-03","000053925701","","DPH Public Health"
"0193064801","OFFICE DEPOT","20.46","2022-01-03","000053925701","","DPH Public Health"
"0199203301","OFFICE DEPOT","39.41","2022-02-23","000053925701","","DPH Public Health"
"0211480401","OFFICE DEPOT","114.73","2022-05-31","000053925701","","DPH Public Health"
"0209874601","LANGUAGELINE SOLUTIONS","412.98","2022-05-17","000053925801","1000011149","PUC Public Utilities Commsn"
"0193445801","COMCAST OF CALIFORNIA III INC","83.15","2022-01-06","000053926001","","ADM GSA - City Administrator"
"0187699701","G4S SECURE INTEGRATION LLC","6720","2021-11-16","000053926101","1000007321","AIR Airport Commission"
"0174821601","UPWARDLY GLOBAL","10090.32","2021-07-26","000053926701","1000020267","MYR Mayor"
"0210083401","DISCOUNT BUILDERS SUPPLY","28.46","2022-05-19","000053926901","","PUC Public Utilities Commsn"
"0173396501","B M I IMAGING SYSTEMS","474.8","2021-07-15","000053927201","1000002208","DBI Building Inspection"
"0176154201","L N CURTIS & SONS","4833.22","2021-08-05","000053927401","1000022262","AIR Airport Commission"
"0177049001","OXFORD INSTRUMENTS AMERICA INC","11618","2021-08-12","000053927601","1000003376","POL Police"
"0215106301","GRAINGER","169.26","2022-06-24","000053927801","1000002899","DPH Public Health"
"0209952501","SIGNATURE MARKETING","835.73","2022-05-18","000053928001","1000022263","AIR Airport Commission"
